[40,0.65,0.6,0.85,True,25,15,15,0.33,1.4],  1.3627019099612963, 0.003229278572609676, -210.9916935503115, 0.1740166207831439, -0.16381504979789394+0.05870616465498349i, 1.5641468070353786e-05+0.0i
 1.4602790374160495, -0.013742576912984333, 53.12973857313256, 0.7728131076739696, -0.48695181290058326+0.6000983513604531i, 1.3308900595440491e-05+0.0i
 1.5542576680936695, -0.010390207417870076, 74.7943522965917, 0.08930052204569977, -0.06627455610340952+0.059852037984771546i, 2.7871395792079146e-05+0.0i
 1.200560555278455, 0.005299706753736607, -113.26669673109637, 0.002606148537952977, 0.0025644466357838407-0.0004643529412972202i, 0.0004280831944108584+0.0i
 1.2482327920002285, 0.004313912901377515, -144.6752427015441, 0.007860989149105284, 0.0028093609680364478-0.007341841822977688i, 0.00021471063827797944+0.0i
 1.3719206836835294, -0.0001144208377420046, 5995.064844643629, 2.252590467687641, -2.2438763407822444-0.1979464129377224i, 1.3343969915006552e-06+0.0i
 1.4574876536608732, -0.009332223418855397, 78.08898202737386, 0.5381614479909891, 0.5374427780619041+0.027802956908590103i, 2.5432429147478458e-05+0.0i
[40,0.65,0.6,0.85,True,500,15,15,0.33,1.4],  1.2474070659755765, -0.0004971933380805718, 1254.4486927270837, 0.0013221218365657948, -0.0007462751953112895+0.0010913658797979744i, 6.508995408132055e-05+0.0i
 1.3710123788587942, -9.454087088849303e-05, 7250.897765030351, 1.2227939267654326, -1.221286639663373-0.06069539615302654i, 1.4376395354496197e-07+0.0i
 1.3732139753865633, -7.411938886851137e-05, 9263.527373536906, 1.0066936804472109, 0.9941629127062641+0.1583422535261777i, 1.465757542365498e-07+0.0i
 1.4621047734871955, -0.011140190325412419, 65.62297100759216, 0.6944076895475176, -0.3010356081341331-0.6257632155520443i, 2.1295816927417984e-05+0.0i
 1.2428717906749156, -0.002908402344644176, 213.66916323727776, 0.014386437011228022, -0.012057344310878704+0.007847930813083945i, 7.229497357810185e-05+0.0i
 1.2487956537658516, -0.0018507585149785983, 337.3740127788342, 0.0037599484812340235, -0.00028532128948091656+0.0037491071394804105i, 1.3372281063655253e-05+0.0i
 1.3710053579339443, -9.616382490192982e-05, 7128.488074034744, 1.2939218225207407, -1.293041346633993-0.04772587024188381i, 1.5120541071938514e-08+0.0i
 1.373211607732709, -7.365854742900275e-05, 9321.468150429562, 0.953088543766816, -0.9418095274322494-0.14619366025034328i, 7.000230499631708e-08+0.0i
 1.4602509698547925, -0.009080545199148634, 80.40546783422771, 0.4966634482096013, 0.45893888528141424+0.1898675337283976i, 2.6822079991283076e-05+0.0i
 1.5537173363174779, -0.015256575140523988, 50.9195976818725, 0.08693535803031491, 0.06850021068771751-0.05353015609539495i, 3.601430612392653e-05+0.0i
