,freq,decay,Q,abs_amp,comp_amp,error,names,a,comp_amp_real,comp_amp_imag,error_real,error_imag
0,1.2629513305953082,-0.0088570578932528,71.29632355442769,0.12297449383446629,0.0649856982004885+0.10440107836242983i,2.5333944048791343e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,0.0649856982004885,0.10440107836242983,2.5333944048791343e-05,0.0
1,1.4211352319500836,-0.0001099406103819,6463.195115131275,10.15704261442722,9.891361730986048+2.3079163282223214i,4.974131753652643e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,9.891361730986048,2.3079163282223214,4.974131753652643e-09,0.0
2,1.4314321891808781,-5.369421714223133e-05,13329.481882463602,9.59648838828126,-7.65992002520528+5.780848950965261i,4.872077202508881e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,-7.65992002520528,5.780848950965261,4.872077202508881e-09,0.0
3,1.5522840654566437,-0.0127960817521751,60.65466349465834,0.2145618944087799,0.006073491947139881+0.21447591759414966i,3.5470319690296585e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,0.006073491947139881,0.21447591759414966,3.5470319690296585e-05,0.0
4,1.249225589344059,0.002888873619651,-216.21326402899865,0.0001256533981381,0.00010528269764575911+6.858811879696299e-05i,3.30298741405268e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,0.00010528269764575911,6.858811879696299e-05,3.30298741405268e-05,0.0
5,1.2984400112057897,-0.0018090962771098,358.86426489144867,0.0606254858935817,-0.02067066893788942+0.056992745025073656i,7.757211549891964e-07+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,-0.02067066893788942,0.056992745025073656,7.757211549891964e-07,0.0
6,1.4211337581944756,-0.0001102511554732,6444.983511028475,10.144449805649506,9.8830809250753+2.2879189862744402i,1.2915573106909165e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,9.8830809250753,2.2879189862744402,1.2915573106909165e-09,0.0
7,1.4314321222704833,-5.44207795441861e-05,13151.52166378152,9.624843893961383,7.681439537076087-5.799405712775239i,1.1937338174092937e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.315]",0.315,7.681439537076087,-5.799405712775239,1.1937338174092937e-09,0.0
8,1.4132873358072473,-0.0001148428454209,6153.136186354692,9.77360835418558,7.294230056738677-6.505200084576664i,3.83287340296546e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,7.294230056738677,-6.505200084576664,3.83287340296546e-09,0.0
9,1.4235634553971208,-5.7219628504793845e-05,12439.46782420874,9.393287449364776,-9.303693900160269-1.2942677151634434i,3.682560902177221e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,-9.303693900160269,-1.2942677151634434,3.682560902177221e-09,0.0
10,1.2908783201282938,-0.0013109095039809,492.35981439153727,0.0324545600229401,-0.010169399941247138+0.03082015202943667i,2.127557280966279e-06+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,-0.010169399941247138,0.03082015202943667,2.127557280966279e-06,0.0
11,1.413287323596019,-0.0001172491033617,6026.857703278005,9.826545952819716,7.3358505169287405+6.538065658599176i,2.177852582876901e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,7.3358505169287405,6.538065658599176,2.177852582876901e-09,0.0
12,1.4235614329681265,-5.500816012211349e-05,12939.547785346207,9.361251964433944,9.269183718871219-1.3096837509227557i,2.0067000900834124e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,9.269183718871219,-1.3096837509227557,2.0067000900834124e-09,0.0
13,1.5507940939523925,-0.0138504395681396,55.98356955831598,0.1918567938362586,-0.18737905176765837-0.04120825523826324i,3.0114068495905183e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.317]",0.317,-0.18737905176765837,-0.04120825523826324,3.0114068495905183e-05,0.0
14,1.2434832270670475,-0.0108203216823838,57.46054801178015,0.12894659221153199,0.0889479300190794+0.09335678544320211i,1.948487736505791e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,0.0889479300190794,0.09335678544320211,1.948487736505791e-05,0.0
15,1.4059487804357602,-0.0001215906283511,5781.484969281723,9.432813524932715,3.4115112234352685+8.794291453467343i,3.948397101010544e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,3.4115112234352685,8.794291453467343,3.948397101010544e-09,0.0
16,1.416272570877302,-5.8208270455337165e-05,12165.561352351117,9.148946347669114,-8.658844679612013-2.954255927790065i,3.132739644749959e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,-8.658844679612013,-2.954255927790065,3.132739644749959e-09,0.0
17,1.4669764197601667,-0.0096400310812553,76.08774325492813,0.3772799715554739,-0.07054197592032191-0.3706265054878778i,4.154943767880939e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,-0.07054197592032191,-0.3706265054878778,4.154943767880939e-05,0.0
18,1.2491302210540685,-0.0022436529095744,278.36975490362306,0.0015706430580416,0.0006432625175943021-0.0014328757619670475i,2.567289077050625e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,0.0006432625175943021,-0.0014328757619670475,2.567289077050625e-05,0.0
19,1.271258566795131,-0.0030131788106964,210.9497389073483,0.0413606086149518,-0.02368991266875082+0.03390409979259423i,3.515563619250233e-06+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,-0.02368991266875082,0.03390409979259423,3.515563619250233e-06,0.0
20,1.4059487100014476,-0.0001219531662983,5764.297691796425,9.451730485413067,3.4194814527072714+8.8114899854382i,3.1979235302098976e-10+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,3.4194814527072714,8.8114899854382,3.1979235302098976e-10,0.0
21,1.4162725295254375,-5.783828426409688e-05,12243.382973279076,9.137799282890766,8.648563398130918+2.94986896029454i,1.2414227117896724e-10+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.319]",0.319,8.648563398130918,2.94986896029454,1.2414227117896724e-10,0.0
22,1.2778256978496398,-0.0027841705236544,229.48050182148805,0.08345078225290853,0.07177537006929632-0.042571461215677286i,5.976667001743546e-06+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,0.07177537006929632,-0.042571461215677286,5.976667001743546e-06,0.0
23,1.398493210319789,-0.0001153281042496,6063.106731087811,9.104180855803843,-1.0972452908967758-9.037818421875386i,7.466296767904455e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,-1.0972452908967758,-9.037818421875386,7.466296767904455e-09,0.0
24,1.4090849109701598,-6.073175239616228e-05,11600.891258484431,8.818548967769601,-6.222457288796848+6.248826384694112i,7.09262978602303e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,-6.222457288796848,6.248826384694112,7.09262978602303e-09,0.0
25,1.5523150068518126,-0.011008663451135,70.50424484962139,0.1815925764406077,0.174704908751659-0.04953845654047418i,0.00021136075338702722+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,0.174704908751659,-0.04953845654047418,0.00021136075338702722,0.0
26,1.2457781939625556,-0.0023912950359508,260.4819094326456,0.0013480851759412,0.0013470123593448972-5.3771231756545586e-05i,4.100700652479911e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,0.0013470123593448972,-5.3771231756545586e-05,4.100700652479911e-05,0.0
27,1.3984935095275393,-0.0001192183250791,5865.262360457733,9.147762007273911,-1.1040984161401706+9.080887425202496i,3.893238583943919e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,-1.1040984161401706,9.080887425202496,3.893238583943919e-09,0.0
28,1.409082000897846,-5.799089471226484e-05,12149.165898278776,8.783221800193648,6.215037131552408+6.206311194648699i,3.812501102771384e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.321]",0.321,6.215037131552408,6.206311194648699,3.812501102771384e-09,0.0
29,1.3911203635426328,-0.0001117847114425,6222.319428081994,8.539615198539895,-4.709337329269057-7.123704770573144i,8.77801087351773e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,-4.709337329269057,-7.123704770573144,8.77801087351773e-09,0.0
30,1.4017098556465126,-6.189960482330475e-05,11322.445915832235,8.475243628982838,-2.576162661519568+8.074226929682284i,8.118644271042138e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,-2.576162661519568,8.074226929682284,8.118644271042138e-09,0.0
31,1.5821027129273517,0.0055999918145817,-141.2593772733495,0.0224306800627387,0.02227956402152573-0.002599314349531418i,0.00041612217270824706+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,0.02227956402152573,-0.002599314349531418,0.00041612217270824706,0.0
32,1.2588186719997645,-0.0037477206534981,167.94457063185612,0.060679682047693,-0.04840744699347663-0.03658883557839562i,1.0534819406944548e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,-0.04840744699347663,-0.03658883557839562,1.0534819406944548e-05,0.0
33,1.3911211451684862,-0.0001154008669086,6027.342698686767,8.604022987758588,-4.749400507802046+7.174427251730127i,3.0492363067328086e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,-4.749400507802046,7.174427251730127,3.0492363067328086e-09,0.0
34,1.4017064966656954,-5.785577741447737e-05,12113.798822751136,8.400814930043015,2.5793292673320645+7.995045467007544i,2.5383262156458395e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,2.5793292673320645,7.995045467007544,2.5383262156458395e-09,0.0
35,1.4549881914928884,-0.0079224907744798,91.82643646488904,0.5939211089264163,0.5835667020339266+0.11041824081930629i,1.2229882172589297e-05+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.323]",0.323,0.5835667020339266,0.11041824081930629,1.2229882172589297e-05,0.0
36,1.2357278917049508,-0.0115676737592645,53.41298161677753,0.05521469609164204,-0.03693178740311521-0.04104516711749986i,0.00016352291447903683+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-0.03693178740311521,-0.04104516711749986,0.00016352291447903683,0.0
37,1.3836673428414683,-0.0001152346893211,6003.692772516511,7.949581590639789,-6.8826991208608455-3.977976907668065i,1.0776701884319905e-08+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-6.8826991208608455,-3.977976907668065,1.0776701884319905e-08,0.0
38,1.3942419868646871,-6.311539693347714e-05,11045.18116501906,8.094069321084794,1.424686160985453+7.9676990102050524i,9.747545573008426e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,1.424686160985453,7.9676990102050524,9.747545573008426e-09,0.0
39,1.5599174118512682,-0.0056426985569124,138.22441480064012,0.025888232851041,-0.0033642353397658462+0.02566870703265731i,0.00019562976808319119+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-0.0033642353397658462,0.02566870703265731,0.00019562976808319119,0.0
40,1.2656522773984205,-0.0025751002055339,245.7481605334237,0.0491358690559859,-0.014915235636606168-0.046817404603325764i,5.045027700258061e-06+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-0.014915235636606168,-0.046817404603325764,5.045027700258061e-06,0.0
41,1.3836690321876686,-0.0001194970767804,5789.551801042728,7.955999548016914,-6.895498892736911+3.968629968680549i,5.134625123261981e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-6.895498892736911,3.968629968680549,5.134625123261981e-09,0.0
42,1.3942382933898179,-5.886951767120536e-05,11841.767595046706,8.067330573870343,-1.3927279644023383+7.946202325971503i,4.399567854406888e-09+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,-1.3927279644023383,7.946202325971503,4.399567854406888e-09,0.0
43,1.4389655803595496,-0.0138996449103343,51.76267414175747,0.4662839437815472,0.37084900972850415-0.2826512483819254i,9.375259572871667e-06+0.0i,"[60,0.8a,0.6,0.85,True,300,15,15,0.325]",0.325,0.37084900972850415,-0.2826512483819254,9.375259572871667e-06,0.0
